Recyclables,City,Volume(kg),Volume1,Volume1,Volume2
Paper,Hong Kong,5,0.698970004,1.609437912,1.430676558
Paper,Hong Kong,33,1.51851394,3.496507561,0.658538571
Paper,Hong Kong,108,2.033423755,4.682131227,0.491781409
Paper,Hong Kong,12,1.079181246,2.48490665,0.926628408
Paper,Hong Kong,38,1.579783597,3.63758616,0.63299809
Paper,Hong Kong,40,1.602059991,3.688879454,0.624196351
Paper,Hong Kong,66,1.819543936,4.189654742,0.549588268
Plastic,Hong Kong,30,1.477121255,3.401197382,0.676992493
Plastic,Hong Kong,11,1.041392685,2.397895273,0.960252568
Plastic,Hong Kong,15,1.176091259,2.708050201,0.850274154
Plastic,Hong Kong,62,1.792391689,4.127134385,0.557913767
Plastic,Hong Kong,19,1.278753601,2.944438979,0.782011483
Plastic,Hong Kong,10,1,2.302585093,1
Plastic,Hong Kong,10,1,2.302585093,1
Plastic,Hong Kong,10,1,2.302585093,1
Plastic,Hong Kong,50,1.698970004,3.912023005,0.58859191
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,97,1.986771734,4.574710979,0.503329085
PET,Hong Kong,5,0.698970004,1.609437912,1.430676558
PET,Hong Kong,5,0.698970004,1.609437912,1.430676558
PET,Hong Kong,2,0.301029996,0.693147181,3.321928095
PET,Hong Kong,1,0,0,0
PET,Hong Kong,0.3,-0.522878745,-1.203972804,-1.912489289
PET,Hong Kong,1,0,0,0
PET,Hong Kong,85,1.929418926,4.442651256,0.518290759
PET,Hong Kong,30,1.477121255,3.401197382,0.676992493
PET,Hong Kong,12.4,1.093421685,2.517696473,0.914560241
PET,Hong Kong,4,0.602059991,1.386294361,1.660964047
PET,Hong Kong,3.1,0.491361694,1.131402111,2.035160682
PET,Hong Kong,2.8,0.447158031,1.029619417,2.236345833
PET,Hong Kong,15.8,1.198657087,2.76000994,0.834266957
PET,Hong Kong,21,1.322219295,3.044522438,0.756304196
PET,Hong Kong,3.5,0.544068044,1.252762968,1.838005394
PET,Hong Kong,7.2,0.857332496,1.974081026,1.166408604
PET,Hong Kong,6.6,0.819543936,1.887069649,1.220190836
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,5,0.698970004,1.609437912,1.430676558
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,6,0.77815125,1.791759469,1.285097209
PET,Hong Kong,1.2,0.079181246,0.182321557,12.62925314
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,14.2,1.152288344,2.653241965,0.867838337
PET,Hong Kong,5.6,0.748188027,1.722766598,1.33656242
PET,Hong Kong,1.4,0.146128036,0.336472237,6.843313779
PET,Hong Kong,6,0.77815125,1.791759469,1.285097209
PET,Hong Kong,1,0,0,0
PET,Hong Kong,65,1.812913357,4.17438727,0.551598341
PET,Hong Kong,60,1.77815125,4.094344562,0.562381856
PET,Hong Kong,10,1,2.302585093,1
PET,Hong Kong,10,1,2.302585093,1
PET,Hong Kong,33,1.51851394,3.496507561,0.658538571
PET,Hong Kong,10,1,2.302585093,1
PET,Hong Kong,5,0.698970004,1.609437912,1.430676558
PET,Hong Kong,30,1.477121255,3.401197382,0.676992493
PET,Hong Kong,227,2.356025857,5.424950017,0.424443559
PET,Hong Kong,24,1.380211242,3.17805383,0.724526775
PET,Hong Kong,6,0.77815125,1.791759469,1.285097209
PET,Hong Kong,5,0.698970004,1.609437912,1.430676558
PET,Hong Kong,3,0.477121255,1.098612289,2.095903274
PET,Hong Kong,45,1.653212514,3.80666249,0.604882912
PET,Hong Kong,25,1.397940009,3.218875825,0.715338279
PET,Hong Kong,30,1.477121255,3.401197382,0.676992493
PET,Hong Kong,65,1.812913357,4.17438727,0.551598341
PET,Hong Kong,100,2,4.605170186,0.5
PET,Hong Kong,79,1.897627091,4.369447852,0.526973927
PET,Hong Kong,4,0.602059991,1.386294361,1.660964047
PET,Hong Kong,10,1,2.302585093,1
PET,Hong Kong,13.8,1.139879086,2.624668592,0.877286031
PET,Hong Kong,2,0.301029996,0.693147181,3.321928095
PET,Hong Kong,7.8,0.892094603,2.054123734,1.120957348
PET,Hong Kong,4.4,0.643452676,1.481604541,1.554115845
PET,Hong Kong,6,0.77815125,1.791759469,1.285097209
PET,Hong Kong,2.8,0.447158031,1.029619417,2.236345833
PET,Hong Kong,13,1.113943352,2.564949357,0.897711718
PET,Hong Kong,4,0.602059991,1.386294361,1.660964047
PET,Hong Kong,1.6,0.204119983,0.470003629,4.899079389
PET,Hong Kong,8.7,0.939519253,2.163323026,1.064374144
PET,Hong Kong,3.6,0.556302501,1.280933845,1.797583147
PET,Hong Kong,3.1,0.491361694,1.131402111,2.035160682
PET,Hong Kong,3.6,0.556302501,1.280933845,1.797583147
PET,Hong Kong,3,0.477121255,1.098612289,2.095903274
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,3,0.477121255,1.098612289,2.095903274
PET,Hong Kong,8,0.903089987,2.079441542,1.107309365
PET,Hong Kong,3.5,0.544068044,1.252762968,1.838005394
PET,Hong Kong,2.5,0.397940009,0.916290732,2.512941595
PET,Hong Kong,30,1.477121255,3.401197382,0.676992493
PET,Hong Kong,55,1.740362689,4.007333185,0.574592874
PET,Hong Kong,20,1.301029996,2.995732274,0.768621787
PET,Hong Kong,50,1.698970004,3.912023005,0.58859191
PET,Hong Kong,2,0.301029996,0.693147181,3.321928095
Metal,Hong Kong,2,0.301029996,0.693147181,3.321928095
